Sub,Path,Area,Trial,Weight
111,418.5436469,231.8251109,1,38.51555097
111,419.858322,181.1148521,2,38.49925328
111,414.9466924,215.2409992,3,38.49613785
120,378.6929649,223.9384757,1,54.32453615
120,342.8938725,426.9117684,2,54.37033318
120,339.2682322,483.2611531,3,54.37323385
174,616.9657035,390.3694444,1,77.35730586
174,574.9441602,387.144685,2,77.33907047
174,462.7053539,268.9629788,3,77.32562795
177,652.5041393,163.6573681,1,56.04816416
177,645.8996363,190.0695384,2,56.04019103
177,707.857908,291.5890458,3,56.07751853
203,350.342366,263.1328747,1,65.57356072
203,311.1465605,216.0459841,2,65.50607117
203,295.0782868,261.285365,3,65.48571079
220,1146.99683,22.50935706,1,24.50331863
220,1446.885918,20.47601769,2,25.86204987
220,1329.655811,16.26322576,3,24.27118129
289,431.5837626,118.2321569,1,84.35663107
289,519.2511637,220.8411233,2,84.33386334
289,464.3560849,155.5735737,3,84.32315012
294,997.8875896,1640.363584,1,64.6579644
294,1323.883709,2642.275213,2,64.63513573
294,1028.412548,1871.457622,3,64.6963041
306,710.2265668,418.1899581,1,77.84204412
306,779.3121747,340.7721025,2,77.81113856
306,657.0444205,146.2938731,3,77.79657989
315,599.3827892,525.0706316,1,52.00854768
315,537.3879455,368.5089515,2,51.99301797
315,737.9388607,359.6439735,3,51.98064327
399,525.1591475,88.60338497,1,26.72938087
399,429.5180356,130.8776777,2,27.79876893
399,505.3543366,160.9891948,3,28.5787325
409,938.2878353,473.8847048,1,52.9890745
409,1119.739944,580.4362355,2,53.02037778
409,1385.17656,1160.065151,3,53.06700324
504,54.31790119,0,1,0.124838164
504,0,0,2,0.059235854
504,0,0,3,5.486945312
511,739.6104808,289.0485451,1,64.85265734
511,639.2218866,316.1921436,2,64.84907175
511,596.4838623,116.3220022,3,64.83410458
536,834.3270467,3011.517635,1,53.61967787
536,1144.901211,2379.285679,2,53.59526408
536,1120.451746,4360.682739,3,53.58536523
543,0,0,1,25.37025377
543,1564.35259,5464.714538,2,26.24821958
543,5183.275136,16412.64971,3,26.70533767
568,438.0461362,232.8216587,1,54.04880018
568,360.6634742,206.9645399,2,54.013465
568,466.8329071,229.8376131,3,53.98876719
569,2466.935286,7333.559423,1,63.90556996
569,1096.034868,939.5257264,2,64.98923267
569,1237.868474,845.8492907,3,64.96710213
578,502.8987098,536.5725226,1,93.44986477
578,593.3074557,1533.209059,2,93.42574997
578,418.6188889,579.8399112,3,93.32401026
588,1426.845454,1435.316538,1,42.66911221
588,1795.39748,1020.401578,2,42.35262991
588,1737.270582,2780.953644,3,45.90054543
592,454.1289431,518.5881761,1,55.13760944
592,472.7678354,543.680958,2,55.12336568
592,631.5286222,1489.547992,3,55.1191174
615,549.7548023,174.6328075,1,54.68968749
615,618.884836,925.5326165,2,54.67014545
615,546.3452918,379.9922291,3,54.67216621
666,642.5569833,462.2169649,1,19.33092037
666,536.9816102,300.5731752,2,18.89061334
666,589.2044488,562.2878074,3,18.76182833
673,719.8074756,204.3676166,1,72.27535599
673,671.9624947,140.7449762,2,72.26097839
673,730.1975892,207.7234515,3,72.25594686
695,495.5993695,529.9178895,1,52.5363329
695,625.1338826,473.0929985,2,52.50249141
695,644.78959,843.8266272,3,52.48488424
719,394.5897616,130.8705851,1,84.3308427
719,612.087146,620.1889283,2,84.32350086
719,548.471803,296.0061555,3,84.32048285
768,569.2771652,195.165739,1,66.62090473
768,787.935027,267.5696997,2,66.59468606
768,624.321209,182.3083467,3,66.58119075
796,657.1561031,356.4973581,1,68.9676148
796,744.4479277,337.6831312,2,68.95274091
796,832.3609471,621.3784978,3,68.97937621
811,1981.713971,677.8048136,1,70.59227872
811,1694.373927,534.2637913,2,70.59949149
811,2246.106471,727.0983566,3,70.58415771
822,200.0155295,83.01681691,1,95.73622742
822,168.4253815,77.59930861,2,95.89226402
822,206.9763404,99.64523924,3,95.7791176
869,339.8474623,449.1398065,1,52.80959198
869,289.7520718,284.9649639,2,52.77943846
869,304.9727664,311.3075758,3,52.76995565
878,1888.814823,935.2447342,1,80.94670453
878,2028.901214,937.6072552,2,80.92351634
878,1518.253893,840.0059002,3,80.90181679
900,933.117405,1580.910712,1,50.42173049
900,970.8305963,1134.878045,2,50.38024718
900,885.6821204,1536.386233,3,50.37084717
901,312.8248158,94.81184256,1,91.9879185
901,265.9211129,191.1576457,2,91.9544342
901,271.7793185,77.48124779,3,91.91969829
906,819.4522417,990.6057664,1,56.30062721
906,996.6309823,999.865206,2,56.27021743
906,932.6510684,1602.334631,3,56.25833092